% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 12.69    0.000818           8        97           rt_sigprocmask
 15.87    0.001023          12        83           write
 12.09    0.000779          11        65           mmap
 11.67    0.000752          13        55           mprotect
 18.41    0.001187          24        48           clone3
  3.86    0.000249           8        28           futex
  4.37    0.000282          13        21           brk
  5.65    0.000364          22        16         7 openat
  4.92    0.000317          21        15           read
  1.60    0.000103          11         9           close
  1.10    0.000071          10         7           unknown
  0.76    0.000049           8         6           rt_sigaction
  1.74    0.000112          22         5           newfstatat
  0.54    0.000035           8         4           pread64
  0.40    0.000026           8         3           sigaltstack
  0.74    0.000048          16         3           statx
  0.26    0.000017           8         2           getrandom
  0.26    0.000017           8         2           sched_yield
  0.25    0.000016           8         2           lseek
  0.26    0.000017           8         2           fcntl
  0.29    0.000019           9         2           pkey_mprotect
  0.28    0.000018           9         2         1 arch_prctl
  0.64    0.000041          20         2           munmap
  0.16    0.000010          10         1           poll
  0.14    0.000009           9         1         1 ioctl
  0.12    0.000008           8         1           set_tid_address
  0.12    0.000008           8         1           set_robust_list
  0.12    0.000008           8         1           gettid
  0.19    0.000012          12         1         1 access
  0.34    0.000022          22         1           socketpair
  0.14    0.000009           9         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.006446          13       487        10 total
