% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  7.88    0.000873           9        97           rt_sigprocmask
 39.16    0.004339          57        76           futex
  7.92    0.000877          13        65           mmap
  7.60    0.000842          15        55           mprotect
 13.27    0.001470          30        48           clone3
  4.71    0.000522          16        31           munmap
  2.65    0.000294          12        23           brk
  3.59    0.000398          18        21           read
  4.19    0.000464          24        19         7 openat
  2.11    0.000234          13        18           write
  1.21    0.000134          11        12           close
  1.35    0.000150          15        10           statx
  0.83    0.000092          11         8           unknown
  0.48    0.000053           8         6           rt_sigaction
  0.42    0.000047           9         5           newfstatat
  0.31    0.000034           8         4           pread64
  0.27    0.000030          10         3           sigaltstack
  0.31    0.000034          11         3           getcwd
  0.17    0.000019           9         2         1 arch_prctl
  0.16    0.000018           9         2           getrandom
  0.17    0.000019           9         2           pkey_mprotect
  0.18    0.000020          10         2           fcntl
  0.23    0.000025          12         2           lseek
  0.07    0.000008           8         1           gettid
  0.23    0.000025          25         1           socketpair
  0.10    0.000011          11         1           poll
  0.12    0.000013          13         1         1 access
  0.07    0.000008           8         1           rseq
  0.07    0.000008           8         1           set_tid_address
  0.10    0.000011          11         1         1 ioctl
  0.07    0.000008           8         1           set_robust_list
------ ----------- ----------- --------- --------- ----------------
100.00    0.011080          21       522        10 total
