% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 10.81    0.000842           8        97           rt_sigprocmask
 18.62    0.001451          18        79         1 futex
 10.19    0.000794          12        65           mmap
 10.18    0.000793          14        55           mprotect
 17.12    0.001334          27        48           clone3
 12.67    0.000987          31        31           munmap
  3.79    0.000295          14        21           brk
  4.31    0.000336          21        16         7 openat
  3.97    0.000309          20        15           read
  1.17    0.000091          10         9           close
  0.95    0.000074          10         7           unknown
  0.58    0.000045           7         6           rt_sigaction
  0.58    0.000045           9         5           newfstatat
  0.51    0.000040          10         4           pread64
  0.47    0.000037          12         3           sigaltstack
  1.00    0.000078          26         3           write
  0.63    0.000049          16         3           statx
  0.23    0.000018           9         2           getrandom
  0.23    0.000018           9         2           lseek
  0.24    0.000019           9         2           pkey_mprotect
  0.23    0.000018           9         2           fcntl
  0.26    0.000020          10         2         1 arch_prctl
  0.12    0.000009           9         1           set_robust_list
  0.12    0.000009           9         1           rseq
  0.14    0.000011          11         1         1 access
  0.10    0.000008           8         1           set_tid_address
  0.15    0.000012          12         1         1 ioctl
  0.12    0.000009           9         1           poll
  0.31    0.000024          24         1           socketpair
  0.09    0.000007           7         1           gettid
  0.13    0.000010          10         1           sched_yield
------ ----------- ----------- --------- --------- ----------------
100.00    0.007792          16       486        11 total
