% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 14.18    0.000820           8        97           rt_sigprocmask
 14.70    0.000850          13        65           mmap
 13.58    0.000785          14        55           mprotect
 23.63    0.001366          28        48           clone3
  5.79    0.000335          11        30           futex
  5.21    0.000301          13        23           brk
  5.73    0.000331          20        16         7 openat
  5.24    0.000303          20        15           read
  1.64    0.000095          10         9           close
  1.28    0.000074          10         7           unknown
  0.99    0.000057           9         6           rt_sigaction
  1.00    0.000058          11         5           newfstatat
  0.55    0.000032           8         4           pread64
  0.43    0.000025           8         3           sigaltstack
  0.83    0.000048          16         3           statx
  0.28    0.000016           8         2           lseek
  0.33    0.000019           9         2         1 arch_prctl
  0.29    0.000017           8         2           fcntl
  0.67    0.000039          19         2           munmap
  0.31    0.000018           9         2           getrandom
  0.31    0.000018           9         2           pkey_mprotect
  0.14    0.000008           8         1           set_robust_list
  1.49    0.000086          86         1           write
  0.17    0.000010          10         1         1 ioctl
  0.14    0.000008           8         1           set_tid_address
  0.38    0.000022          22         1           socketpair
  0.16    0.000009           9         1           gettid
  0.14    0.000008           8         1           rseq
  0.19    0.000011          11         1           poll
  0.21    0.000012          12         1         1 access
------ ----------- ----------- --------- --------- ----------------
100.00    0.005781          14       407        10 total
